dataset,n_share,n_source_private,method,AA,H-score,H3-score,AUROC,OSCR
office31,10,0,SO,93.53,92.29,90.73,97.83,93.93
office31,10,0,DANCE,93.79,94.98,92.48,98.58,94.24
office31,10,0,OVANet,88.38,88.7,88.38,96.39,92.53
office31,10,0,UniOT,91.35,94.52,91.9,98.06,95.51
officehome,15,0,SO,80.28,81.76,82.15,91.3,83.82
officehome,15,0,DANCE,76.34,81.93,82.22,91.32,82.04
officehome,15,0,OVANet,78.2,76.2,78.24,88.44,81.37
officehome,15,0,UniOT,80.18,85.56,84.11,91.81,82.5
visda,6,0,SO,56.51,64.49,66.31,72.67,59.14
visda,6,0,DANCE,56.42,65.26,66.85,75.19,53.03
visda,6,0,OVANet,57.74,62.44,64.83,65.73,53.6
visda,6,0,UniOT,64.57,71.56,68.67,72.77,60.66
domainnet,150,0,SO,58.88,70.36,72.2,84.25,64.0
domainnet,150,0,DANCE,57.93,70.51,72.3,85.2,65.85
domainnet,150,0,OVANet,66.46,57.49,61.67,80.56,61.29
domainnet,150,0,UniOT,63.66,72.64,72.17,82.84,63.61
